,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"(335, 246, 97, 97)",0.01,0.0,0.01,0.46,0.01,0.0,0.51
1,"(335, 246, 97, 97)",0.02,0.0,0.02,0.35,0.01,0.0,0.59
2,"(336, 247, 96, 96)",0.02,0.0,0.03,0.22,0.01,0.0,0.72
3,"(336, 247, 95, 95)",0.02,0.0,0.02,0.4,0.01,0.0,0.55
4,"(337, 248, 94, 94)",0.02,0.0,0.04,0.31,0.01,0.0,0.62
5,"(336, 247, 95, 95)",0.01,0.0,0.02,0.42,0.01,0.0,0.53
6,"(336, 247, 95, 95)",0.02,0.0,0.02,0.45,0.01,0.0,0.5
7,"(335, 246, 96, 96)",0.01,0.0,0.01,0.34,0.01,0.0,0.63
8,"(336, 247, 95, 95)",0.01,0.0,0.01,0.47,0.01,0.0,0.5
9,"(336, 247, 95, 95)",0.01,0.0,0.02,0.45,0.01,0.0,0.51
10,"(337, 247, 95, 95)",0.01,0.0,0.01,0.27,0.01,0.0,0.7
11,"(336, 247, 95, 95)",0.01,0.0,0.01,0.58,0.0,0.0,0.41
12,"(336, 247, 95, 95)",0.01,0.0,0.01,0.54,0.01,0.0,0.44
13,"(338, 249, 93, 93)",0.01,0.0,0.02,0.45,0.01,0.0,0.5
14,"(336, 247, 95, 95)",0.01,0.0,0.01,0.49,0.01,0.0,0.49
15,"(336, 247, 95, 95)",0.01,0.0,0.01,0.64,0.01,0.0,0.33
16,"(336, 248, 95, 95)",0.01,0.0,0.01,0.56,0.0,0.0,0.42
17,"(337, 248, 94, 94)",0.01,0.0,0.01,0.6,0.01,0.0,0.37
18,"(336, 247, 95, 95)",0.01,0.0,0.0,0.65,0.0,0.0,0.33
19,"(337, 248, 94, 94)",0.01,0.0,0.01,0.53,0.01,0.0,0.45
20,"(337, 248, 94, 94)",0.01,0.0,0.01,0.52,0.01,0.0,0.45
21,"(338, 249, 92, 92)",0.01,0.0,0.01,0.59,0.0,0.0,0.39
22,"(340, 250, 90, 90)",0.01,0.0,0.01,0.51,0.0,0.0,0.46
23,"(340, 250, 90, 90)",0.0,0.0,0.01,0.54,0.01,0.0,0.43
24,"(340, 251, 90, 90)",0.01,0.0,0.01,0.56,0.01,0.0,0.42
25,"(339, 251, 91, 91)",0.01,0.0,0.01,0.62,0.01,0.0,0.35
26,"(336, 248, 94, 94)",0.01,0.0,0.02,0.51,0.01,0.0,0.44
27,"(336, 248, 95, 95)",0.01,0.0,0.01,0.76,0.0,0.0,0.22
28,"(339, 250, 91, 91)",0.02,0.0,0.01,0.64,0.01,0.0,0.32
29,"(335, 248, 95, 95)",0.01,0.0,0.01,0.59,0.01,0.0,0.39
30,"(338, 250, 91, 91)",0.01,0.0,0.01,0.52,0.01,0.0,0.45
31,"(335, 247, 96, 96)",0.01,0.0,0.01,0.6,0.0,0.0,0.38
32,"(335, 246, 96, 96)",0.0,0.0,0.0,0.57,0.0,0.0,0.42
33,"(335, 247, 96, 96)",0.01,0.0,0.01,0.46,0.01,0.0,0.52
